Day,SuicideAttemptCount,SocialMediaDiscussion
17640,13,34.602631684652614
17641,17,32.238658979760686
17642,17,20.152174420339204
17643,21,28.943161321052226
17644,17,47.51794811522145
17645,22,45.96580724354124
17646,16,65.00221846160993
17647,15,82.11112722670909
17648,22,63.70855436094907
17649,25,79.0396682581
17650,25,199.8697422809613
17651,22,186.02791887667155
17652,14,100.7691803946514
17653,16,215.07057447778425
17654,18,149.10798953712487
17655,14,83.01738120654876
17656,17,61.41146548636515
17657,20,45.797071249439824
17658,21,32.923197813000634
17659,19,45.8420886669473
17660,17,34.45284858337446
17661,20,60.276287589801406
17662,19,54.70316679558701
17663,20,33.78283092641582
17664,19,28.12023735753208
17665,19,21.400210201411802
17666,13,20.990989965186586
17667,14,17.91157723761971
17668,18,37.19617472944335
17669,27,37.37703729335762
17670,22,43.137980219442746
17671,13,36.44759372647022
17672,17,35.60350189281225
17673,15,81.76014681597682
17674,18,53.06872199579033
17675,25,113.11094685942658
17676,19,74.58802483712718
17677,14,58.28725181620791
17678,11,34.79183533995634
17679,20,37.932545645029464
17680,21,52.915281570992654
17681,19,105.24108955314139
17682,18,72.60223964794794
17683,21,53.60844756109548
17684,27,93.4876884960771
17685,15,60.20548166453452
17686,17,239.3973181318167
17687,18,148.98277834014678
17688,18,83.82753035702446
17689,10,47.28607887228398
17690,23,67.93615973223766
17691,24,77.69917213698184
17692,17,144.18721561843546
17693,20,75.86843603569102
17694,13,11936.443711683543
17695,18,5985.39405394931
17696,22,3056.6672865739542
17697,19,1884.514611982021
17698,22,1183.692340547512
17699,23,599.0242030544163
17700,20,329.05080128053714
17701,20,179.47898392905842
17702,18,119.51756204956965
17703,16,68.68964916464985
17704,26,56.46953688754741
17705,20,57.17773156721613
17706,11,33.262509654962784
17707,25,86.66357773495018
17708,24,98.88530207311832
17709,10,57.43708076811689
17710,18,42.21678975017293
17711,16,32.4040974855594
17712,18,40.90363454713981
17713,16,36.54523970363752
17714,11,28.977537319037936
17715,19,31.868235071727266
17716,20,35.94937821306747
17717,19,33.46847344895602
17718,17,37.43720456740835
17719,17,34.10160535790786
17720,16,37.33010704515675
17721,15,20.09456223287537
17722,27,41.91593482624998
17723,10,71.4244392042594
17724,15,46.68164962425448
17725,13,39.8350759591043
17726,15,41.540048099640295
17727,17,55.81739020559971
17728,17,52.97626358395311
17729,16,43.95055382118848
17730,15,35.66567424409107
17731,23,23.62535729650491
17732,13,57.64217612259116
17733,16,274.42959353251507
17734,17,141.48687095148622
17735,20,78.64468379297669
17736,12,42.700398079648785
17737,13,46.19284750741771
17738,20,47.00131948152442
17739,19,213.57409515752607
17740,19,121.23984130016945
17741,19,78.58002723811809
17742,20,48.25048486888668
17743,25,70.79292505282503
17744,20,56.79319144044251
17745,6,36.37578893357229
17746,21,153.52768510535358
17747,17,109.65688841507433
17748,16,60.474917931162274
17749,13,45.66964048505066
17750,17,30.607758392030696
17751,18,40.781382428978155
17752,20,27.602701682627586
17753,18,28.203824363243402
17754,12,21.595710326859507
17755,20,35.99989972957046
17756,18,80.68995729870403
17757,14,82.75419145231967
17758,10,53.5192777892044
17759,14,61.179588190196846
17760,24,53.42828169730342
17761,17,49.3710033331501
17762,17,69.72422568734366
17763,15,41.57561166519547
17764,18,48.68721592386973
17765,24,46.126363262450944
17766,18,28.269032287044457
17767,12,46.709744050810016
17768,16,57.70971069325929
17769,16,39.02426328343671
17770,16,70.19690939532921
17771,24,69.38549611707215
17772,19,47.18453269562167
17773,14,27.773503502802917
17774,19,28.345110584525894
17775,23,129.77821854521966
17776,20,83.67653413365424
17777,23,62.185989358247845
17778,18,84.82958661520418
17779,16,44.9549126765877
17780,27,29.87201684152832
17781,9,31.612928160777102
17782,20,24.472220901882704
17783,17,103.6876780092742
17784,22,79.49906462141495
17785,19,44.69736714238512
17786,21,54.16934926830634
17787,21,83.54549172908777
17788,21,102.58802228084983
17789,12,59.76024408951861
17790,21,43.66428718397222
17791,14,29.882471201995514
17792,24,19.687486860849965
17793,19,119.37437789127765
17794,12,66.1740003106873
17795,17,319.1110650893151
17796,15,173.10782364701794
17797,12,89.39647438890573
17798,17,59.59686801484586
17799,12,43.49239431490703
17800,11,47.72137931343627
17801,18,43.21603175444394
17802,19,349.8284659806191
17803,13,186.33121666173213
17804,25,263.2424665330778
17805,12,134.4480427141698
17806,16,76.23810685644557
17807,17,70.45621870419723
17808,27,87.13248964768002
17809,18,61.31580318562909
17810,20,35.907914445164664
17811,18,38.8580457617354
17812,16,37.11434757046711
17813,10,97.69369518615386
17814,18,62.983378275865135
17815,20,52.33608243222716
17816,17,32.91296641766121
17817,17,21.35875420154978
17818,19,33.894913649248764
17819,16,89.2272283060492
17820,24,95.54799275510365
17821,13,53.93001771897945
17822,13,37.828079056118064
17823,19,24.633458520752576
17824,18,19.7377609364836
17825,13,52.12271990078402
17826,17,40.71296117486229
17827,14,22.81091829010398
17828,26,57.414964463338634
17829,25,60.21048134634465
17830,24,64.907731898604
17831,16,69.19237534965494
17832,12,1929.3120063351519
17833,23,989.312004608391
17834,18,791.7726304467516
17835,17,397.363710619015
17836,15,211.04932565536726
17837,19,170.23389214367225
17838,13,87.38936738896345
17839,15,58.13653931408955
17840,14,34.05969068121064
17841,20,59.469230586792385
17842,14,40.537171153552414
17843,24,30.50032862679261
17844,19,27.64991156828637
17845,15,25.007075400628096
17846,16,33.818848141115964
17847,23,59.661602284834366
17848,15,41.500732355637524
17849,15,37.32485076564088
17850,25,62.73848146271487
17851,17,129.17416779304943
17852,17,87.4503009029037
17853,8,49.600920851667915
17854,17,37.58105173652595
17855,11,31.07558243951722
17856,16,54.880526632192044
17857,15,34.68730489666573
17858,20,31.97414643677843
17859,12,27.82643810116031
17860,10,25.42633208087859
17861,16,263.44680955466
17862,18,173.26460130748112
17863,16,130.22050893659858
17864,17,66.63678540156509
17865,17,44.56511533982761
17866,17,40.1210000619177
17867,22,33.01865140318204
17868,19,98.58593247136398
17869,20,86.12186592362775
17870,14,45.25726640823846
17871,10,30.19181574062319
17872,18,32.20715852843396
17873,18,24.73639532133562
17874,17,61.487919427155234
17875,17,302.3968895979087
17876,26,166.5790476895156
17877,18,109.39117261139454
17878,18,62.842576373337245
17879,17,63.73573936832785
17880,16,48.91325885697879
17881,20,44.530379852958035
17882,15,25.82738172708732
17883,20,28.413891136479698
17884,22,157.60838355738935
17885,15,274.80754087513225
17886,19,233.92633065254364
17887,10,120.9589094035833
17888,19,3011.2225664332095
17889,29,1554.8554047546531
17890,18,814.8583211047734
17891,21,412.57820165024174
17892,14,213.11215731393233
17893,14,120.29093144511174
17894,21,112.78738169053709
17895,18,88.19776113927729
17896,17,49.04780201960389
17897,14,31.839698681250454
17898,15,28.51707378614564
17899,28,47.0377505857278
17900,21,25.336800546539855
17901,18,140.07937645327277
17902,24,90.36982129965183
17903,16,69.4911763268877
17904,25,70.123403640886
17905,24,50.611587836541155
17906,15,36.440544189034654
17907,22,104.97719065537001
17908,15,100.13549613642007
17909,12,52.084831571753305
17910,20,35.54079749384282
17911,13,25.94497822600908
17912,18,100.32311299544119
17913,16,128.10863129946736
17914,14,82.83267768163545
17915,14,82.45998532705512
17916,17,53.35110988000699
17917,21,36.56751363221149
17918,16,105.64186042843299
17919,23,59.90011247636721
17920,21,95.5792929962364
17921,17,58.928691137367274
17922,20,88.6799856383505
17923,26,257.7332899977443
17924,15,219.42715953815195
17925,17,266.67329142243966
17926,12,141.02789256098592
17927,19,118.9611210767505
17928,10,69.60214200260694
17929,13,71.28177693537991
17930,14,45.87338531991899
17931,14,30.915188583830787
17932,14,27.0472214288918
17933,16,25.174406993206933
17934,22,27.738890614791238
17935,20,25.145231584293498
17936,26,40.53198458312831
17937,26,58.46001860458939
17938,17,40.35420298662469
17939,15,53.99328399788861
17940,13,32.7419822173979
17941,28,49.56720982845377
17942,20,34.07511560991014
17943,19,46.14045632647885
17944,21,179.41433616923504
17945,12,107.52496496637748
17946,15,60.93247968560932
17947,20,51.23959773348351
17948,19,103.5608651552754
17949,24,111.75293132939989
17950,17,72.50158092142799
17951,19,201.5917792362649
17952,17,112.49660307777772
17953,20,93.7375844488077
17954,14,148.5799518506204
17955,15,136.13112379360754
17956,15,69.49694803553855
17957,12,138.0126773766584
17958,20,109.27151745815853
17959,15,85.23357086497712
17960,16,57.124244203987494
17961,19,126.03514519324422
17962,10,75.14571022319535
17963,15,49.16949652840027
17964,17,36.56205833787311
17965,20,35.00822516075168
17966,19,35.3166198245065
17967,27,44.34833288629703
17968,20,40.43919426963616
17969,18,30.7128194136262
17970,6,27.27575393704609
17971,12,58.57949183558198
17972,14,125.41024832451944
